nfhs_state_raw,nfhs_district_raw,canonical_state_norm,canonical_district_norm,score,source,notes
Telangana,Komaram Bheem Asifabad ,TELANGANA,KUMURAM BHEEM ASIFABAD,0.909,auto:difflib>=0.90,
Uttar Pradesh,Bara Banki ,UTTAR PRADESH,BARABANKI,0.947,auto:difflib>=0.90,
Uttar Pradesh,Kushinagar ,UTTAR PRADESH,KUSHI NAGAR,0.952,auto:difflib>=0.90,
Uttar Pradesh,Mahrajganj ,UTTAR PRADESH,MAHARAJGANJ,0.952,auto:difflib>=0.90,
Uttar Pradesh,Sant Kabir Nagar ,UTTAR PRADESH,SANT KABEER NAGAR,0.909,auto:difflib>=0.90,
Uttar Pradesh,Siddharthnagar ,UTTAR PRADESH,SIDDHARTH NAGAR,0.966,auto:difflib>=0.90,
Uttarakhand,Hardwar ,UTTARAKHAND,HARIDWAR,0.933,auto:difflib>=0.90,
Uttarakhand,Rudraprayag ,UTTARAKHAND,RUDRA PRAYAG,0.957,auto:difflib>=0.90,
Uttarakhand,Udham Singh Nagar ,UTTARAKHAND,UDAM SINGH NAGAR,0.97,auto:difflib>=0.90,
Uttarakhand,Uttarkashi ,UTTARAKHAND,UTTAR KASHI,0.952,auto:difflib>=0.90,
West Bengal,Paschim Barddhaman ,WEST BENGAL,PASCHIM BARDHAMAN,0.971,auto:difflib>=0.90,
West Bengal,Puruliya ,WEST BENGAL,PURULIA,0.933,auto:difflib>=0.90,
