nfhs_state_raw,nfhs_district_raw,nfhs_state_norm,canonical_state_norm,nfhs_district_norm,candidate_district_norm,score,rank
Karnataka,Davanagere ,KARNATAKA,KARNATAKA,DAVANAGERE,DAVANGERE,0.947,1
Karnataka,Davanagere ,KARNATAKA,KARNATAKA,DAVANAGERE,RAMANAGARA,0.6,2
Karnataka,Mysore ,KARNATAKA,KARNATAKA,MYSORE,MYSURU,0.667,1
Karnataka,Shimoga ,KARNATAKA,KARNATAKA,SHIMOGA,SHIVAMOGGA,0.824,1
Karnataka,Tumkur ,KARNATAKA,KARNATAKA,TUMKUR,TUMAKURU,0.857,1
Ladakh,Leh(Ladakh) ,LADAKH,LADAKH,LEH(LADAKH),LEH LADAKH,0.857,1
 Lakshadweep ,Lakshadweep ,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP,LAKSHADWEEP DISTRICT,0.71,1
Madhya Pradesh,Khandwa (East Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHANDWA (EAST NIMAR),EAST NIMAR,0.667,1
Madhya Pradesh,Khargone (West Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHARGONE (WEST NIMAR),EAST NIMAR,0.581,1
Madhya Pradesh,Khargone (West Nimar) ,MADHYA PRADESH,MADHYA PRADESH,KHARGONE (WEST NIMAR),KHARGONE,0.552,2
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,NARSINGHPUR,0.818,1
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,ALIRAJPUR,0.6,2
Madhya Pradesh,Narsimhapur ,MADHYA PRADESH,MADHYA PRADESH,NARSIMHAPUR,BURHANPUR,0.6,3
Maharastra,Ahmadnagar ,MAHARASTRA,MAHARASHTRA,AHMADNAGAR,AHMEDNAGAR,0.9,1
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,AKOLA,1.0,1
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,KOLHAPUR,0.615,2
Maharastra,Akola ,MAHARASTRA,MAHARASHTRA,AKOLA,JALNA,0.6,3
Maharastra,Amravati ,MAHARASTRA,MAHARASHTRA,AMRAVATI,AMRAVATI,1.0,1
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,AURANGABAD,1.0,1
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,OSMANABAD,0.632,2
Maharastra,Aurangabad ,MAHARASTRA,MAHARASHTRA,AURANGABAD,RAIGAD,0.625,3
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,BHANDARA,1.0,1
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,CHANDRAPUR,0.667,2
Maharastra,Bhandara ,MAHARASTRA,MAHARASHTRA,BHANDARA,BULDHANA,0.625,3
Maharastra,Bid ,MAHARASTRA,MAHARASHTRA,BID,BEED,0.571,1
Maharastra,Buldana ,MAHARASTRA,MAHARASHTRA,BULDANA,BULDHANA,0.933,1
Maharastra,Chandrapur ,MAHARASTRA,MAHARASHTRA,CHANDRAPUR,CHANDRAPUR,1.0,1
Maharastra,Chandrapur ,MAHARASTRA,MAHARASHTRA,CHANDRAPUR,BHANDARA,0.667,2
Maharastra,Chandrapur ,MAHARASTRA,MAHARASHTRA,CHANDRAPUR,KOLHAPUR,0.556,3
Maharastra,Dhule ,MAHARASTRA,MAHARASHTRA,DHULE,DHULE,1.0,1
Maharastra,Gadchiroli ,MAHARASTRA,MAHARASHTRA,GADCHIROLI,GADCHIROLI,1.0,1
Maharastra,Gadchiroli ,MAHARASTRA,MAHARASHTRA,GADCHIROLI,HINGOLI,0.588,2
Maharastra,Gondiya ,MAHARASTRA,MAHARASHTRA,GONDIYA,GONDIA,0.923,1
Maharastra,Hingoli ,MAHARASTRA,MAHARASHTRA,HINGOLI,HINGOLI,1.0,1
Maharastra,Hingoli ,MAHARASTRA,MAHARASHTRA,HINGOLI,SANGLI,0.615,2
Maharastra,Hingoli ,MAHARASTRA,MAHARASHTRA,HINGOLI,GADCHIROLI,0.588,3
Maharastra,Jalgaon ,MAHARASTRA,MAHARASHTRA,JALGAON,JALGAON,1.0,1
Maharastra,Jalgaon ,MAHARASTRA,MAHARASHTRA,JALGAON,JALNA,0.667,2
Maharastra,Jalgaon ,MAHARASTRA,MAHARASHTRA,JALGAON,PALGHAR,0.571,3
Maharastra,Jalna ,MAHARASTRA,MAHARASHTRA,JALNA,JALNA,1.0,1
Maharastra,Jalna ,MAHARASTRA,MAHARASHTRA,JALNA,JALGAON,0.667,2
Maharastra,Jalna ,MAHARASTRA,MAHARASHTRA,JALNA,AKOLA,0.6,3
Maharastra,Kolhapur ,MAHARASTRA,MAHARASHTRA,KOLHAPUR,KOLHAPUR,1.0,1
Maharastra,Kolhapur ,MAHARASTRA,MAHARASHTRA,KOLHAPUR,SOLAPUR,0.8,2
Maharastra,Kolhapur ,MAHARASTRA,MAHARASHTRA,KOLHAPUR,AKOLA,0.615,3
Maharastra,Latur ,MAHARASTRA,MAHARASHTRA,LATUR,LATUR,1.0,1
Maharastra,Latur ,MAHARASTRA,MAHARASHTRA,LATUR,SOLAPUR,0.667,2
Maharastra,Latur ,MAHARASTRA,MAHARASHTRA,LATUR,KOLHAPUR,0.615,3
Maharastra,Mumbai ,MAHARASTRA,MAHARASHTRA,MUMBAI,MUMBAI,1.0,1
Maharastra,Mumbai ,MAHARASTRA,MAHARASHTRA,MUMBAI,MUMBAI SUBURBAN,0.571,2
Maharastra,Mumbai Suburban ,MAHARASTRA,MAHARASHTRA,MUMBAI SUBURBAN,MUMBAI SUBURBAN,1.0,1
Maharastra,Mumbai Suburban ,MAHARASTRA,MAHARASHTRA,MUMBAI SUBURBAN,MUMBAI,0.571,2
Maharastra,Nagpur ,MAHARASTRA,MAHARASHTRA,NAGPUR,NAGPUR,1.0,1
Maharastra,Nagpur ,MAHARASTRA,MAHARASHTRA,NAGPUR,CHANDRAPUR,0.625,2
Maharastra,Nagpur ,MAHARASTRA,MAHARASHTRA,NAGPUR,SOLAPUR,0.615,3
Maharastra,Nanded ,MAHARASTRA,MAHARASHTRA,NANDED,NANDED,1.0,1
Maharastra,Nandurbar ,MAHARASTRA,MAHARASHTRA,NANDURBAR,NANDURBAR,1.0,1
Maharastra,Nandurbar ,MAHARASTRA,MAHARASHTRA,NANDURBAR,BHANDARA,0.588,2
Maharastra,Nashik ,MAHARASTRA,MAHARASHTRA,NASHIK,NASHIK,1.0,1
Maharastra,Nashik ,MAHARASTRA,MAHARASHTRA,NASHIK,WASHIM,0.667,2
Maharastra,Osmanabad ,MAHARASTRA,MAHARASHTRA,OSMANABAD,OSMANABAD,1.0,1
Maharastra,Osmanabad ,MAHARASTRA,MAHARASHTRA,OSMANABAD,AURANGABAD,0.632,2
Maharastra,Palghar ,MAHARASTRA,MAHARASHTRA,PALGHAR,PALGHAR,1.0,1
Maharastra,Palghar ,MAHARASTRA,MAHARASHTRA,PALGHAR,JALGAON,0.571,2
Maharastra,Parbhani ,MAHARASTRA,MAHARASHTRA,PARBHANI,PARBHANI,1.0,1
Maharastra,Parbhani ,MAHARASTRA,MAHARASHTRA,PARBHANI,WARDHA,0.571,2
Maharastra,Pune ,MAHARASTRA,MAHARASHTRA,PUNE,PUNE,1.0,1
Maharastra,Raigarh ,MAHARASTRA,MAHARASHTRA,RAIGARH,RAIGAD,0.769,1
Maharastra,Raigarh ,MAHARASTRA,MAHARASHTRA,RAIGARH,PALGHAR,0.571,2
Maharastra,Ratnagiri ,MAHARASTRA,MAHARASHTRA,RATNAGIRI,RATNAGIRI,1.0,1
Maharastra,Sangli ,MAHARASTRA,MAHARASHTRA,SANGLI,SANGLI,1.0,1
Maharastra,Sangli ,MAHARASTRA,MAHARASHTRA,SANGLI,HINGOLI,0.615,2
Maharastra,Satara ,MAHARASTRA,MAHARASHTRA,SATARA,SATARA,1.0,1
Maharastra,Satara ,MAHARASTRA,MAHARASHTRA,SATARA,BHANDARA,0.571,2
Maharastra,Sindhudurg ,MAHARASTRA,MAHARASHTRA,SINDHUDURG,SINDHUDURG,1.0,1
Maharastra,Solapur ,MAHARASTRA,MAHARASHTRA,SOLAPUR,SOLAPUR,1.0,1
Maharastra,Solapur ,MAHARASTRA,MAHARASHTRA,SOLAPUR,KOLHAPUR,0.8,2
Maharastra,Solapur ,MAHARASTRA,MAHARASHTRA,SOLAPUR,LATUR,0.667,3
Maharastra,Thane ,MAHARASTRA,MAHARASHTRA,THANE,THANE,1.0,1
Maharastra,Wardha ,MAHARASTRA,MAHARASHTRA,WARDHA,WARDHA,1.0,1
Maharastra,Wardha ,MAHARASTRA,MAHARASHTRA,WARDHA,PARBHANI,0.571,2
Maharastra,Washim ,MAHARASTRA,MAHARASHTRA,WASHIM,WASHIM,1.0,1
Maharastra,Washim ,MAHARASTRA,MAHARASHTRA,WASHIM,NASHIK,0.667,2
Maharastra,Yavatmal ,MAHARASTRA,MAHARASHTRA,YAVATMAL,YAVATMAL,1.0,1
Meghalaya,East Jantia Hills ,MEGHALAYA,MEGHALAYA,EAST JANTIA HILLS,EAST JAINTIA HILLS,0.971,1
Meghalaya,East Jantia Hills ,MEGHALAYA,MEGHALAYA,EAST JANTIA HILLS,WEST JAINTIA HILLS,0.914,2
Meghalaya,East Jantia Hills ,MEGHALAYA,MEGHALAYA,EAST JANTIA HILLS,EAST KHASI HILLS,0.788,3
Meghalaya,Ribhoi ,MEGHALAYA,MEGHALAYA,RIBHOI,RI BHOI,0.923,1
NCT of Delhi,Central ,NCT OF DELHI,DELHI,CENTRAL,CENTRAL,1.0,1
NCT of Delhi,East ,NCT OF DELHI,DELHI,EAST,EAST,1.0,1
NCT of Delhi,East ,NCT OF DELHI,DELHI,EAST,WEST,0.75,2
NCT of Delhi,East ,NCT OF DELHI,DELHI,EAST,NORTH EAST,0.571,3
NCT of Delhi,New Delhi ,NCT OF DELHI,DELHI,NEW DELHI,NEW DELHI,1.0,1
NCT of Delhi,North ,NCT OF DELHI,DELHI,NORTH,NORTH,1.0,1
NCT of Delhi,North ,NCT OF DELHI,DELHI,NORTH,NORTH EAST,0.667,2
NCT of Delhi,North ,NCT OF DELHI,DELHI,NORTH,NORTH WEST,0.667,3
NCT of Delhi,North East ,NCT OF DELHI,DELHI,NORTH EAST,NORTH EAST,1.0,1
NCT of Delhi,North East ,NCT OF DELHI,DELHI,NORTH EAST,NORTH WEST,0.9,2
NCT of Delhi,North East ,NCT OF DELHI,DELHI,NORTH EAST,SOUTH EAST,0.8,3
NCT of Delhi,North West ,NCT OF DELHI,DELHI,NORTH WEST,NORTH WEST,1.0,1
NCT of Delhi,North West ,NCT OF DELHI,DELHI,NORTH WEST,NORTH EAST,0.9,2
NCT of Delhi,North West ,NCT OF DELHI,DELHI,NORTH WEST,SOUTH WEST,0.8,3
NCT of Delhi,Shahdara ,NCT OF DELHI,DELHI,SHAHDARA,SHAHDARA,1.0,1
NCT of Delhi,South ,NCT OF DELHI,DELHI,SOUTH,SOUTH,1.0,1
NCT of Delhi,South ,NCT OF DELHI,DELHI,SOUTH,SOUTH EAST,0.667,2
NCT of Delhi,South ,NCT OF DELHI,DELHI,SOUTH,SOUTH WEST,0.667,3
NCT of Delhi,South East ,NCT OF DELHI,DELHI,SOUTH EAST,SOUTH EAST,1.0,1
NCT of Delhi,South East ,NCT OF DELHI,DELHI,SOUTH EAST,SOUTH WEST,0.9,2
NCT of Delhi,South East ,NCT OF DELHI,DELHI,SOUTH EAST,NORTH EAST,0.8,3
NCT of Delhi,South West ,NCT OF DELHI,DELHI,SOUTH WEST,SOUTH WEST,1.0,1
NCT of Delhi,South West ,NCT OF DELHI,DELHI,SOUTH WEST,SOUTH EAST,0.9,2
NCT of Delhi,South West ,NCT OF DELHI,DELHI,SOUTH WEST,NORTH WEST,0.8,3
NCT of Delhi,West ,NCT OF DELHI,DELHI,WEST,WEST,1.0,1
NCT of Delhi,West ,NCT OF DELHI,DELHI,WEST,EAST,0.75,2
NCT of Delhi,West ,NCT OF DELHI,DELHI,WEST,NORTH WEST,0.571,3
Odisha,Baudh ,ODISHA,ODISHA,BAUDH,BOUDH,0.8,1
Odisha,Debagarh ,ODISHA,ODISHA,DEBAGARH,BARGARH,0.8,1
Odisha,Debagarh ,ODISHA,ODISHA,DEBAGARH,DEOGARH,0.8,2
Odisha,Debagarh ,ODISHA,ODISHA,DEBAGARH,SUNDARGARH,0.667,3
Odisha,Nabarangapur ,ODISHA,ODISHA,NABARANGAPUR,NABARANGPUR,0.957,1
Odisha,Nabarangapur ,ODISHA,ODISHA,NABARANGAPUR,BARGARH,0.632,2
Odisha,Nabarangapur ,ODISHA,ODISHA,NABARANGAPUR,JAGATSINGHAPUR,0.615,3
Odisha,Subarnapur ,ODISHA,ODISHA,SUBARNAPUR,NABARANGPUR,0.667,1
Odisha,Subarnapur ,ODISHA,ODISHA,SUBARNAPUR,SAMBALPUR,0.632,2
Odisha,Subarnapur ,ODISHA,ODISHA,SUBARNAPUR,SUNDARGARH,0.6,3
Puducherry,Puducherry ,PUDUCHERRY,PUDUCHERRY,PUDUCHERRY,PONDICHERRY,0.762,1
Punjab,Firozpur ,PUNJAB,PUNJAB,FIROZPUR,FIROZEPUR,0.941,1
Punjab,Firozpur ,PUNJAB,PUNJAB,FIROZPUR,HOSHIARPUR,0.556,2
Punjab,Muktsar ,PUNJAB,PUNJAB,MUKTSAR,AMRITSAR,0.667,1
Punjab,Muktsar ,PUNJAB,PUNJAB,MUKTSAR,SRI MUKTSAR SAHIB,0.583,2
Punjab,Sahibzada Ajit Singh Nagar ,PUNJAB,PUNJAB,SAHIBZADA AJIT SINGH NAGAR,SHAHID BHAGAT SINGH NAGAR,0.784,1
Rajasthan,Chittaurgarh ,RAJASTHAN,RAJASTHAN,CHITTAURGARH,CHITTORGARH,0.87,1
Rajasthan,Chittaurgarh ,RAJASTHAN,RAJASTHAN,CHITTAURGARH,HANUMANGARH,0.609,2
Rajasthan,Dhaulpur ,RAJASTHAN,RAJASTHAN,DHAULPUR,DHOLPUR,0.8,1
Rajasthan,Dhaulpur ,RAJASTHAN,RAJASTHAN,DHAULPUR,JODHPUR,0.667,2
Rajasthan,Dhaulpur ,RAJASTHAN,RAJASTHAN,DHAULPUR,UDAIPUR,0.667,3
Rajasthan,Jalor ,RAJASTHAN,RAJASTHAN,JALOR,JALORE,0.909,1
Rajasthan,Jalor ,RAJASTHAN,RAJASTHAN,JALOR,JHALAWAR,0.615,2
Rajasthan,Jalor ,RAJASTHAN,RAJASTHAN,JALOR,ALWAR,0.6,3
Rajasthan,Jhunjhunun ,RAJASTHAN,RAJASTHAN,JHUNJHUNUN,JHUNJHUNU,0.947,1
Tamil Nadu,Kancheepuram ,TAMIL NADU,TAMIL NADU,KANCHEEPURAM,KANCHIPURAM,0.87,1
Tamil Nadu,Kancheepuram ,TAMIL NADU,TAMIL NADU,KANCHEEPURAM,RAMANATHAPURAM,0.615,2
Tamil Nadu,Viluppuram ,TAMIL NADU,TAMIL NADU,VILUPPURAM,VILLUPURAM,0.9,1
Tamil Nadu,Viluppuram ,TAMIL NADU,TAMIL NADU,VILUPPURAM,TIRUPPUR,0.667,2
Tamil Nadu,Viluppuram ,TAMIL NADU,TAMIL NADU,VILUPPURAM,KANCHIPURAM,0.571,3
Telangana,Komaram Bheem Asifabad ,TELANGANA,TELANGANA,KOMARAM BHEEM ASIFABAD,KUMURAM BHEEM ASIFABAD,0.909,1
Telangana,Warangal Rural ,TELANGANA,TELANGANA,WARANGAL RURAL,WARANGAL,0.727,1
Telangana,Warangal Rural ,TELANGANA,TELANGANA,WARANGAL RURAL,RANGA REDDY,0.56,2
Telangana,Warangal Urban ,TELANGANA,TELANGANA,WARANGAL URBAN,WARANGAL,0.727,1
Telangana,Warangal Urban ,TELANGANA,TELANGANA,WARANGAL URBAN,RANGA REDDY,0.56,2
Uttar Pradesh,Allahabad ,UTTAR PRADESH,UTTAR PRADESH,ALLAHABAD,FARRUKHABAD,0.6,1
Uttar Pradesh,Allahabad ,UTTAR PRADESH,UTTAR PRADESH,ALLAHABAD,GHAZIABAD,0.556,2
Uttar Pradesh,Allahabad ,UTTAR PRADESH,UTTAR PRADESH,ALLAHABAD,MORADABAD,0.556,3
Uttar Pradesh,Bara Banki ,UTTAR PRADESH,UTTAR PRADESH,BARA BANKI,BARABANKI,0.947,1
Uttar Pradesh,Bara Banki ,UTTAR PRADESH,UTTAR PRADESH,BARA BANKI,BAHRAICH,0.556,2
Uttar Pradesh,Bara Banki ,UTTAR PRADESH,UTTAR PRADESH,BARA BANKI,VARANASI,0.556,3
Uttar Pradesh,Faizabad ,UTTAR PRADESH,UTTAR PRADESH,FAIZABAD,FIROZABAD,0.824,1
Uttar Pradesh,Faizabad ,UTTAR PRADESH,UTTAR PRADESH,FAIZABAD,GHAZIABAD,0.706,2
Uttar Pradesh,Faizabad ,UTTAR PRADESH,UTTAR PRADESH,FAIZABAD,FARRUKHABAD,0.632,3
Uttar Pradesh,Jyotiba Phule Nagar ,UTTAR PRADESH,UTTAR PRADESH,JYOTIBA PHULE NAGAR,KANPUR NAGAR,0.581,1
Uttar Pradesh,Kanshiram Nagar ,UTTAR PRADESH,UTTAR PRADESH,KANSHIRAM NAGAR,KUSHI NAGAR,0.769,1
Uttar Pradesh,Kanshiram Nagar ,UTTAR PRADESH,UTTAR PRADESH,KANSHIRAM NAGAR,KANPUR NAGAR,0.741,2
Uttar Pradesh,Kanshiram Nagar ,UTTAR PRADESH,UTTAR PRADESH,KANSHIRAM NAGAR,AMBEDKAR NAGAR,0.621,3
Uttar Pradesh,Kushinagar ,UTTAR PRADESH,UTTAR PRADESH,KUSHINAGAR,KUSHI NAGAR,0.952,1
Uttar Pradesh,Kushinagar ,UTTAR PRADESH,UTTAR PRADESH,KUSHINAGAR,KANPUR NAGAR,0.636,2
Uttar Pradesh,Kushinagar ,UTTAR PRADESH,UTTAR PRADESH,KUSHINAGAR,SIDDHARTH NAGAR,0.56,3
Uttar Pradesh,Mahamaya Nagar ,UTTAR PRADESH,UTTAR PRADESH,MAHAMAYA NAGAR,AMBEDKAR NAGAR,0.643,1
Uttar Pradesh,Mahamaya Nagar ,UTTAR PRADESH,UTTAR PRADESH,MAHAMAYA NAGAR,GAUTAM BUDDHA NAGAR,0.606,2
Uttar Pradesh,Mahamaya Nagar ,UTTAR PRADESH,UTTAR PRADESH,MAHAMAYA NAGAR,MUZAFFARNAGAR,0.593,3
Uttar Pradesh,Mahrajganj ,UTTAR PRADESH,UTTAR PRADESH,MAHRAJGANJ,MAHARAJGANJ,0.952,1
Uttar Pradesh,Mahrajganj ,UTTAR PRADESH,UTTAR PRADESH,MAHRAJGANJ,KASGANJ,0.588,2
Uttar Pradesh,Mahrajganj ,UTTAR PRADESH,UTTAR PRADESH,MAHRAJGANJ,MATHURA,0.588,3
Uttar Pradesh,Sant Kabir Nagar ,UTTAR PRADESH,UTTAR PRADESH,SANT KABIR NAGAR,SANT KABEER NAGAR,0.909,1
Uttar Pradesh,Sant Kabir Nagar ,UTTAR PRADESH,UTTAR PRADESH,SANT KABIR NAGAR,AMBEDKAR NAGAR,0.667,2
