nfhs_state_raw,nfhs_district_raw,nfhs_state_norm,canonical_state_norm,nfhs_district_norm,candidate_district_norm,score,rank
West Bengal,Haora ,WEST BENGAL,WEST BENGAL,HAORA,JHARGRAM,0.615,2
West Bengal,Koch Bihar ,WEST BENGAL,WEST BENGAL,KOCH BIHAR,COOCHBEHAR,0.7,1
West Bengal,Paschim Barddhaman ,WEST BENGAL,WEST BENGAL,PASCHIM BARDDHAMAN,PASCHIM BARDHAMAN,0.971,1
West Bengal,Paschim Barddhaman ,WEST BENGAL,WEST BENGAL,PASCHIM BARDDHAMAN,PURBA BARDHAMAN,0.727,2
West Bengal,Paschim Medinipur ,WEST BENGAL,WEST BENGAL,PASCHIM MEDINIPUR,PASCHIM BARDHAMAN,0.588,1
West Bengal,Paschim Medinipur ,WEST BENGAL,WEST BENGAL,PASCHIM MEDINIPUR,MEDINIPUR EAST,0.581,2
West Bengal,Paschim Medinipur ,WEST BENGAL,WEST BENGAL,PASCHIM MEDINIPUR,MEDINIPUR WEST,0.581,3
West Bengal,Purba Medinipur ,WEST BENGAL,WEST BENGAL,PURBA MEDINIPUR,MEDINIPUR EAST,0.621,1
West Bengal,Purba Medinipur ,WEST BENGAL,WEST BENGAL,PURBA MEDINIPUR,MEDINIPUR WEST,0.621,2
West Bengal,Puruliya ,WEST BENGAL,WEST BENGAL,PURULIYA,PURULIA,0.933,1
West Bengal,Puruliya ,WEST BENGAL,WEST BENGAL,PURULIYA,ALIPURDUAR,0.556,2
West Bengal,Uttar Dinajpur ,WEST BENGAL,WEST BENGAL,UTTAR DINAJPUR,DINAJPUR UTTAR,0.571,1
